area,total_cafes,avg_rating,median_rating,std_rating,avg_reviews,total_reviews,avg_price,median_price,premium_count,budget_count,avg_sentiment,avg_positive_ratio,avg_parking,avg_engagement,avg_location_attract,avg_competitors_500m,avg_footfall,avg_tourist_index,avg_pop_density,avg_rent,avg_utility_cost,premium_vs_budget_ratio,review_share,cafe_share,saturation_index,competitor_density_norm,demand_score,competition_intensity,price_level_index,reputation_strength,pct_growing,avg_momentum,growth_momentum,market_balance,barrier_to_entry,market_positioning,strengths,risks
Dubai Mall,15,4.746666666666667,4.8,0.1684664725722967,3918.8,58782,3.0,3.0,15,0,0.8772988095238096,0.9666666666666667,1.9333333333333333,109.85721780871155,0.9999999999825,39.86666666666667,40.0,100.0,3355.6441569010417,300.0,1788.0,15.0,0.10430940402991828,0.04297994269340974,0.41204283633987715,0.9999999999749165,0.7895407854497333,0.4151594703827366,1.0,0.9054152390710386,0.9333333333333333,1.8333333333333333,0.8166666666666665,0.7669657884592636,1.0,High-Growth Corridor,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs; Premium-skewed
Dubai Marina,13,4.684615384615385,4.7,0.14051188470584886,2427.4615384615386,31557,2.0,2.0,0,0,0.8272307692307692,0.9230769230769231,2.0,906.5054945054944,0.9164826922916538,2.3076923076923075,36.65923076923077,91.64846153846155,2960.310509314904,200.0,1638.6699999999998,0.0,0.05599829646783252,0.03724928366762178,0.6651860148820623,0.057885258552702906,0.5222276830775024,0.07881066862692233,0.08333333333333326,0.8254071878940735,0.8461538461538461,1.8076923076923077,0.7653846153846153,0.7312353825761331,0.737361577181208,Emerging Opportunity,Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs
Dubai Silicon Oasis,1,4.7,4.7,,1163.0,1163,2.0,2.0,0,0,0.702,0.8,1.0,1163.0,0.5071749999911239,0.0,20.29,50.71,3261.500732421875,100.0,906.86,0.0,0.002063758240393232,0.0028653295128939827,1.388403669001471,0.0,0.20616121580962396,0.011732047688854863,0.08333333333333326,0.730126229508197,1.0,2.0,0.8999999999999999,0.6452486595127942,0.2303942953020134,Underserved / Niche,Strong area reputation; Growing market momentum; Lower operational costs,Market oversaturation risk
International City,1,4.2,4.2,,336.0,336,2.0,2.0,0,0,0.0,0.5,1.0,336.0,0.7928249999861262,0.0,31.71,79.29,3197.6708984375,70.0,1417.54,0.0,0.0005962362586174771,0.0028653295128939827,4.805694842406877,0.0,0.39881464210056483,0.04251410058843573,0.08333333333333326,0.006557377049180767,0.0,1.0,0.09999999999999999,0.40026807499792494,0.38460570469798655,Emerging Opportunity,High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk; Mixed/low customer sentiment; Stagnant/declining momentum
JBR,1,4.7,4.7,,2701.0,2701,2.0,2.0,0,0,1.0,1.0,2.0,385.85714285714283,0.9999999999825,7.0,40.0,100.0,2927.522705078125,220.0,1788.0,0.0,0.004792958733707755,0.0028653295128939827,0.5978206097921921,0.17558528427653217,0.48204201384219714,0.06606553458879409,0.08333333333333326,0.934426229508197,1.0,2.0,0.8999999999999999,0.7690835670992098,0.84,Emerging Opportunity,Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs
Jumeirah,36,4.6305555555555555,4.7,0.21490123238953224,1962.3333333333333,70644,2.0555555555555554,2.0,2,0,0.6064038461538462,0.8083333333333333,2.1944444444444446,1226.7133597883596,0.9124958333173647,2.5555555555555554,36.49944444444444,91.25055555555555,3176.741433536305,160.0,1631.538611111111,2.0,0.12535867337432458,0.10315186246418338,0.8228538136820336,0.06410256410095617,0.7093385620584811,0.18462917752187327,0.13425925925925902,0.6552969017094019,0.6388888888888888,1.6736111111111112,0.6215277777777777,0.707476138237436,0.6543702227815064,Emerging Opportunity,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Relatively low risk profile
Karama,4,4.45,4.45,0.3511884584284245,665.75,2663,2.0,2.0,0,0,0.640375,0.825,1.75,153.98611111111111,0.9999999999825,6.25,40.0,100.0,3334.1690673828125,80.0,1788.0,0.0,0.004725527252078398,0.011461318051575931,2.4254051326304324,0.15677257524690372,0.6020632151491622,0.0892768166150629,0.08333333333333326,0.5571230532786888,0.5,1.1875,0.40625,0.6310775318041788,0.56,Emerging Opportunity,High consumer demand; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk
Media City,1,4.8,4.8,,58.0,58,2.0,2.0,0,0,0.9199999999999999,1.0,0.0,58.0,0.8285499999855008,0.0,33.14,82.86,2822.533935546875,150.0,1481.43,0.0,0.00010292173511849308,0.0028653295128939827,27.839887362908804,0.0,0.31388609330580164,0.25,0.08333333333333326,0.972,0.0,0.6666666666666666,0.0,0.49176013265703056,0.5714052013422819,Emerging Opportunity,Strong area reputation; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk; Stagnant/declining momentum
Mirdif,3,4.533333333333333,4.5,0.05773502691896237,623.0,1869,2.0,2.0,0,0,0.8107936507936508,0.8666666666666667,1.3333333333333333,623.0,0.4666666666585,0.6666666666666666,18.666666666666668,46.666666666666664,3238.15625,120.0,834.4,0.0,0.0033165641885597166,0.008595988538681949,2.5918354206239336,0.016722408026336396,0.1711334269982197,0.0373139735525246,0.08333333333333326,0.6922477231329692,1.0,1.8333333333333333,0.8499999999999999,0.6090177506878396,0.24,Underserved / Niche,Strong area reputation; Growing market momentum; Lower operational costs,Market oversaturation risk
Other,91,4.6098901098901095,4.7,0.2728674668344587,992.8131868131868,90346,2.010989010989011,2.0,1,0,0.6060578317287109,0.8010989010989011,1.2967032967032968,720.8158577533578,0.662084615373029,1.8461538461538463,26.483076923076922,66.20923076923077,2928.643108667952,,1183.8043956043955,1.0,0.160320122086472,0.2607449856733524,1.6264021152174157,0.04630820684216233,0.5118213970346907,0.43008374698950746,0.0934065934065933,0.6380074686316206,0.5714285714285714,1.565018315018315,0.5552197802197802,0.560262001985045,0.14656224647835384,Balanced Market,High foot traffic zone; Tourist-heavy traffic; Lower operational costs,Market oversaturation risk
Oud Metha,11,4.445454545454545,4.4,0.269679944985297,1544.6363636363637,16991,1.9090909090909092,2.0,0,1,0.6164454545454545,0.8,2.5454545454545454,254.38296930342386,0.9999999999825,8.727272727272727,40.0,100.0,3332.574640447443,95.0,1788.0,0.0,0.030150744851695103,0.03151862464183381,1.0453680264572902,0.21891152325385826,0.6478379752963,0.12970555115146437,0.0,0.5332670864381521,0.7272727272727273,1.5606060606060608,0.6318181818181818,0.6773339572171057,0.59,Emerging Opportunity,High consumer demand; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Relatively low risk profile
Satwa,5,4.66,4.6,0.15165750888103116,455.0,2275,2.0,2.0,0,0,0.70424,0.82,1.4,118.9968253968254,0.9999999999825,6.0,40.0,100.0,3296.8537109375,85.0,1788.0,0.0,0.004037016334389168,0.014326647564469915,3.548820806700463,0.15050167223702757,0.5897860461996829,0.10164587555864041,0.08333333333333326,0.7146807213114756,0.8,1.5,0.65,0.703949791542524,0.5700000000000001,Emerging Opportunity,Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk
Sheikh Zayed Road,21,4.523809523809524,4.6,0.33452169123206626,1712.0,35952,2.0,2.0,0,0,0.4303970315398887,0.7142857142857143,2.0,746.6003152543069,0.9925190476016785,6.9523809523809526,39.70095238095238,99.25142857142858,3139.516066778274,190.0,1774.6261904761905,0.0,0.06379727967207006,0.06017191977077364,0.9431737541172374,0.17439082656036528,0.6463893613828516,0.15764721284124844,0.08333333333333326,0.4766733092044569,0.47619047619047616,1.4841269841269842,0.4833333333333333,0.6288258017812439,0.7743901805688718,Emerging Opportunity,High consumer demand; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs
Umm Suqeim,9,4.5,4.5,0.1802775637731994,888.7777777777778,7999,2.111111111111111,2.0,1,0,0.6679487179487179,0.8444444444444444,1.5555555555555556,807.2037037037038,0.8571416666516668,1.4444444444444444,34.285555555555554,85.71444444444445,2905.033013237847,150.0,1532.5666666666666,1.0,0.014194326882979762,0.025787965616045846,1.8167797478982866,0.03623188405706219,0.38535274629581806,0.06382746081256,0.18518518518518517,0.6092829620288639,0.3333333333333333,1.5833333333333333,0.44166666666666665,0.5791065217395024,0.5928551454138702,Emerging Opportunity,High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk
